,Name_sesion_es,Lab,Hw,Project,Exam,Ntipo,Name_lab_es,Name_project_es,Sesion,Name_book,Book_url_values,Presentacion,Video,Demostracion,Seccion_lecturas,Tipo_lab,Tipo_hw,Tipo_exam,Tipo_project
65,Intervalos de confianza,Lab07,0,0,0,1,Pruebas A/B,0,23,13.1. Percentiles,https://inferentialthinking.com/chapters/13/1/Percentiles.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,13.1,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab07/lab07.ipynb,,,
66,Intervalos de confianza,Lab07,0,0,0,1,Pruebas A/B,0,23,13.2. The Bootstrap,https://inferentialthinking.com/chapters/13/2/Bootstrap.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,13.2,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab07/lab07.ipynb,,,
67,Interpretar la confianza,0,0,0,0,-1,0,0,24,13.3. Confidence Intervals,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,13.3,,,,
68,Interpretar la confianza,0,0,0,0,-1,0,0,24,13.4. Using Confidence Intervals,https://inferentialthinking.com/chapters/13/4/Using_Confidence_Intervals.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,13.4,,,,
69,Centrar y extender,0,hw08,0,0,0,0,0,25,14. Why the Mean Matters,https://inferentialthinking.com/chapters/14/Why_the_Mean_Matters.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw08/hw08.ipynb,,
70,Centrar y extender,0,hw08,0,0,0,0,0,25,14.1. Properties of the Mean,https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.1,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw08/hw08.ipynb,,
71,Centrar y extender,0,hw08,0,0,0,0,0,25,14.2. Variability,https://inferentialthinking.com/chapters/14/2/Variability.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.2,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw08/hw08.ipynb,,
72,La distribución normal,Lab08,0,0,0,1,Medios de muestra,0,26,14.3. The SD and the Normal Curve,https://inferentialthinking.com/chapters/14/3/SD_and_the_Normal_Curve.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.3,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab08/lab08.ipynb,,,
73,La distribución normal,Lab08,0,0,0,1,Medios de muestra,0,26,14.4. The Central Limit Theorem,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.4,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab08/lab08.ipynb,,,
74,Medios de muestra,0,0,0,0,-1,0,0,27,14.5. The Variability of the Sample Mean,https://inferentialthinking.com/chapters/14/5/Variability_of_the_Sample_Mean.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.5,,,,
75,Diseñar experimentos,0,hw09,Project02,0,2,0,0,28,14.6. Choosing a Sample Size,https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,14.6,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw09/hw09.ipynb,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project02/project02.ipynb
76,Correlación,0,0,0,0,-1,0,0,29,15. Prediction,https://inferentialthinking.com/chapters/15/Prediction.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15,,,,
77,Correlación,0,0,0,0,-1,0,0,29,15.1. Correlation,https://inferentialthinking.com/chapters/15/1/Correlation.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.1,,,,
78,Regresión lineal,0,0,0,0,-1,0,0,30,15.2. The Regression Line,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.2,,,,
